timestamp,epoch,step,global_step,loss,lr
2025-12-06T23:10:58.539014,52,500,64249,0.786458,0.00055451
2025-12-06T23:11:17.811776,52,600,64349,0.786808,0.00055450
2025-12-06T23:11:37.043693,52,700,64449,0.785241,0.00055449
2025-12-06T23:11:56.246551,52,800,64549,0.786148,0.00055448
2025-12-06T23:12:15.428166,52,900,64649,0.786005,0.00055447
2025-12-06T23:12:34.613507,52,1000,64749,0.785106,0.00055446
2025-12-06T23:13:04.140498,52,1100,64849,0.785717,0.00055445
2025-12-06T23:13:23.562304,52,1200,64949,0.785410,0.00055443
2025-12-06T23:14:04.642039,53,100,65099,0.784925,0.00055442
2025-12-06T23:14:23.619371,53,200,65199,0.785270,0.00055441
2025-12-06T23:14:42.915315,53,300,65299,0.784711,0.00055439
2025-12-06T23:15:02.271801,53,400,65399,0.784779,0.00055438
2025-12-06T23:15:21.558487,53,500,65499,0.784964,0.00055437
2025-12-06T23:15:40.890702,53,600,65599,0.785153,0.00055436
2025-12-06T23:16:00.204307,53,700,65699,0.783717,0.00055435
2025-12-06T23:16:19.504033,53,800,65799,0.785331,0.00055434
2025-12-06T23:16:38.773690,53,900,65899,0.785641,0.00055433
2025-12-06T23:16:58.099517,53,1000,65999,0.783853,0.00055432
2025-12-06T23:17:28.397471,53,1100,66099,0.784902,0.00055430
2025-12-06T23:17:47.772768,53,1200,66199,0.783954,0.00055429
2025-12-06T23:18:27.651964,54,100,66349,0.784910,0.00055428
2025-12-06T23:18:46.595519,54,200,66449,0.784708,0.00055426
2025-12-06T23:19:05.903903,54,300,66549,0.783660,0.00055425
2025-12-06T23:19:25.193267,54,400,66649,0.786106,0.00055424
2025-12-06T23:19:44.507763,54,500,66749,0.785421,0.00055423
2025-12-06T23:20:03.807473,54,600,66849,0.784867,0.00055422
2025-12-06T23:20:23.153206,54,700,66949,0.784450,0.00055421
2025-12-06T23:20:42.501511,54,800,67049,0.783841,0.00055419
2025-12-06T23:21:01.870495,54,900,67149,0.784000,0.00055418
2025-12-06T23:21:21.196532,54,1000,67249,0.785178,0.00055417
2025-12-06T23:21:52.331547,54,1100,67349,0.784313,0.00055416
2025-12-06T23:22:11.771599,54,1200,67449,0.784929,0.00055415
2025-12-06T23:22:51.158782,55,100,67599,0.784273,0.00055413
2025-12-06T23:23:10.190501,55,200,67699,0.784723,0.00055412
2025-12-06T23:23:29.425671,55,300,67799,0.785411,0.00055411
2025-12-06T23:23:48.722640,55,400,67899,0.784097,0.00055409
2025-12-06T23:24:08.005551,55,500,67999,0.783208,0.00055408
2025-12-06T23:24:27.360583,55,600,68099,0.785097,0.00055407
2025-12-06T23:24:46.725498,55,700,68199,0.784690,0.00055406
2025-12-06T23:25:06.027261,55,800,68299,0.784792,0.00055405
2025-12-06T23:25:25.398834,55,900,68399,0.784835,0.00055404
2025-12-06T23:25:44.714739,55,1000,68499,0.784077,0.00055402
2025-12-06T23:26:15.784344,55,1100,68599,0.784458,0.00055401
2025-12-06T23:26:35.213977,55,1200,68699,0.783304,0.00055400
2025-12-06T23:27:14.798106,56,100,68849,0.784045,0.00055398
2025-12-06T23:27:33.816454,56,200,68949,0.783755,0.00055397
2025-12-06T23:27:53.080053,56,300,69049,0.784501,0.00055396
2025-12-06T23:28:12.383399,56,400,69149,0.784182,0.00055395
2025-12-06T23:28:31.706899,56,500,69249,0.783409,0.00055393
2025-12-06T23:28:50.949344,56,600,69349,0.785039,0.00055392
2025-12-06T23:29:10.202069,56,700,69449,0.785046,0.00055391
2025-12-06T23:29:29.453925,56,800,69549,0.784846,0.00055390
2025-12-06T23:29:48.702999,56,900,69649,0.784573,0.00055389
2025-12-06T23:30:07.930799,56,1000,69749,0.783511,0.00055387
2025-12-06T23:30:39.275592,56,1100,69849,0.784541,0.00055386
2025-12-06T23:30:58.646086,56,1200,69949,0.783711,0.00055385
2025-12-06T23:31:37.629528,57,100,70099,0.784433,0.00055383
2025-12-06T23:31:56.479213,57,200,70199,0.784879,0.00055382
2025-12-06T23:32:15.673437,57,300,70299,0.784946,0.00055381
2025-12-06T23:32:34.830885,57,400,70399,0.784535,0.00055380
2025-12-06T23:32:54.026840,57,500,70499,0.783671,0.00055378
2025-12-06T23:33:13.268250,57,600,70599,0.785127,0.00055377
2025-12-06T23:33:32.409902,57,700,70699,0.784189,0.00055376
2025-12-06T23:33:51.591463,57,800,70799,0.783586,0.00055375
2025-12-06T23:34:10.758081,57,900,70899,0.783273,0.00055373
2025-12-06T23:34:29.899820,57,1000,70999,0.783553,0.00055372
2025-12-06T23:35:00.215181,57,1100,71099,0.784250,0.00055371
2025-12-06T23:35:19.523221,57,1200,71199,0.784422,0.00055370
2025-12-06T23:35:59.600021,58,100,71349,0.784051,0.00055368
2025-12-06T23:36:18.503120,58,200,71449,0.784041,0.00055367
2025-12-06T23:36:37.719931,58,300,71549,0.783241,0.00055365
2025-12-06T23:36:56.921031,58,400,71649,0.783117,0.00055364
2025-12-06T23:37:16.129718,58,500,71749,0.784219,0.00055363
2025-12-06T23:37:35.305679,58,600,71849,0.784012,0.00055362
2025-12-06T23:37:54.525143,58,700,71949,0.783775,0.00055360
2025-12-06T23:38:13.748458,58,800,72049,0.784045,0.00055359
2025-12-06T23:38:32.975762,58,900,72149,0.784518,0.00055358
2025-12-06T23:38:52.186949,58,1000,72249,0.783465,0.00055357
2025-12-06T23:39:22.503099,58,1100,72349,0.783799,0.00055355
2025-12-06T23:39:41.839601,58,1200,72449,0.783672,0.00055354
2025-12-06T23:40:20.484083,59,100,72599,0.783399,0.00055352
2025-12-06T23:40:39.375584,59,200,72699,0.784291,0.00055351
2025-12-06T23:40:58.549925,59,300,72799,0.784728,0.00055350
2025-12-06T23:41:17.741359,59,400,72899,0.783748,0.00055349
2025-12-06T23:41:36.969871,59,500,72999,0.783433,0.00055347
2025-12-06T23:41:56.166415,59,600,73099,0.783826,0.00055346
2025-12-06T23:42:15.379551,59,700,73199,0.783992,0.00055345
2025-12-06T23:42:34.571423,59,800,73299,0.783512,0.00055343
2025-12-06T23:42:53.840195,59,900,73399,0.784675,0.00055342
2025-12-06T23:43:13.095277,59,1000,73499,0.784028,0.00055341
2025-12-06T23:43:42.603271,59,1100,73599,0.783282,0.00055340
2025-12-06T23:44:01.928359,59,1200,73699,0.782763,0.00055338
2025-12-06T23:44:40.746594,60,100,73849,0.783162,0.00055336
2025-12-06T23:44:59.649690,60,200,73949,0.782807,0.00055335
2025-12-06T23:45:18.812925,60,300,74049,0.783233,0.00055334
2025-12-06T23:45:37.991005,60,400,74149,0.783001,0.00055333
2025-12-06T23:45:57.160375,60,500,74249,0.784088,0.00055331
2025-12-06T23:46:16.347821,60,600,74349,0.784041,0.00055330
2025-12-06T23:46:35.555037,60,700,74449,0.784803,0.00055329
2025-12-06T23:46:54.743805,60,800,74549,0.783162,0.00055327
2025-12-06T23:47:13.950623,60,900,74649,0.784003,0.00055326
2025-12-06T23:47:33.155944,60,1000,74749,0.782574,0.00055325
2025-12-06T23:48:03.361345,60,1100,74849,0.782638,0.00055324
2025-12-06T23:48:22.671774,60,1200,74949,0.783076,0.00055322
2025-12-06T23:49:01.834095,61,100,75099,0.783653,0.00055320
2025-12-06T23:49:20.764993,61,200,75199,0.783543,0.00055319
2025-12-06T23:49:39.917859,61,300,75299,0.783377,0.00055318
2025-12-06T23:49:59.092997,61,400,75399,0.783204,0.00055316
2025-12-06T23:50:18.263129,61,500,75499,0.783821,0.00055315
2025-12-06T23:50:37.408812,61,600,75599,0.783692,0.00055314
2025-12-06T23:50:56.585113,61,700,75699,0.782442,0.00055313
2025-12-06T23:51:15.757364,61,800,75799,0.783601,0.00055311
2025-12-06T23:51:34.913493,61,900,75899,0.783373,0.00055310
2025-12-06T23:51:54.111657,61,1000,75999,0.782904,0.00055309
2025-12-06T23:52:24.278276,61,1100,76099,0.782746,0.00055307
2025-12-06T23:52:43.617950,61,1200,76199,0.783129,0.00055306
2025-12-06T23:53:22.504327,62,100,76349,0.783237,0.00055304
2025-12-06T23:53:41.481790,62,200,76449,0.784025,0.00055303
2025-12-06T23:54:00.770120,62,300,76549,0.783444,0.00055301
2025-12-06T23:54:19.992780,62,400,76649,0.782484,0.00055300
2025-12-06T23:54:39.214903,62,500,76749,0.783925,0.00055299
2025-12-06T23:54:58.456142,62,600,76849,0.783186,0.00055297
2025-12-06T23:55:17.700374,62,700,76949,0.783505,0.00055296
2025-12-06T23:55:36.900762,62,800,77049,0.782427,0.00055295
2025-12-06T23:55:56.149030,62,900,77149,0.782291,0.00055293
2025-12-06T23:56:15.416645,62,1000,77249,0.782365,0.00055292
2025-12-06T23:56:45.282853,62,1100,77349,0.783279,0.00055291
2025-12-06T23:57:04.648167,62,1200,77449,0.782396,0.00055289
2025-12-06T23:57:44.404918,63,100,77599,0.783069,0.00055287
2025-12-06T23:58:03.333593,63,200,77699,0.783108,0.00055286
2025-12-06T23:58:22.579542,63,300,77799,0.783543,0.00055285
2025-12-06T23:58:41.834283,63,400,77899,0.782587,0.00055283
2025-12-06T23:59:01.047239,63,500,77999,0.783529,0.00055282
2025-12-06T23:59:20.289648,63,600,78099,0.783070,0.00055281
2025-12-06T23:59:39.497136,63,700,78199,0.783349,0.00055279
2025-12-06T23:59:58.719850,63,800,78299,0.782700,0.00055278
2025-12-07T00:00:17.980880,63,900,78399,0.783512,0.00055276
2025-12-07T00:00:37.205767,63,1000,78499,0.783460,0.00055275
2025-12-07T00:01:06.489170,63,1100,78599,0.783128,0.00055274
2025-12-07T00:01:25.858495,63,1200,78699,0.783718,0.00055272
2025-12-07T00:02:05.511939,64,100,78849,0.782824,0.00055270
2025-12-07T00:02:24.466810,64,200,78949,0.782587,0.00055269
2025-12-07T00:02:43.695861,64,300,79049,0.782563,0.00055268
2025-12-07T00:03:02.924369,64,400,79149,0.782151,0.00055266
2025-12-07T00:03:22.135013,64,500,79249,0.783791,0.00055265
2025-12-07T00:03:41.349773,64,600,79349,0.782888,0.00055264
2025-12-07T00:04:00.613032,64,700,79449,0.783145,0.00055262
